"aktuelle Probe"	"17"
"Einspannlänge"	832.756	"mm"
"Messlänge"	"nicht bekannt"
"Probenbreite b0"	11.4	"mm"
"Probendicke a0"	0.2	"mm"
"Prüfgeschwindigkeit"	150	"mm/min"
"Vorkraft"	0.2	"N"
"Weg nach Bruch"	5	"mm"
"E-Modul"	1127.12	"N/mm²"
"Dehnung bei Fmax"	306.402	"%"
"Dehnung bei Bruch"	309.236	"%"
"obere Streckgrenze"	"nicht bekannt"
"Kraftmaximum"	37.9483	"N/mm²"
"Bruchkraft"	"nicht bekannt"
"Geschwindigkeit E-Modul"	1	"%L0/min"
"Datum"	"20.02.2008"
"Prüfzeit"	"Standardweg"	"Standardkraft"	"Dehnung"	"Traverse abs."
"s"	"mm"	"N"	"%"	"mm"
0.02	6.8902e-005	0.218446	8.61275e-005	785.175
0.35	0.000947808	0.246496	0.00118476	785.176
0.42	0.00200575	0.279091	0.00250719	785.177
0.5	0.00307997	0.311216	0.00384996	785.178
0.58	0.00417046	0.344124	0.00521308	785.179
0.66	0.00522841	0.38048	0.00653551	785.18
0.74	0.00628635	0.412135	0.00785794	785.181
0.82	0.00732802	0.446924	0.00916002	785.182
0.9	0.00835341	0.481242	0.0104418	785.183
0.98	0.0093788	0.514307	0.0117235	785.184
1.06	0.0104856	0.55223	0.013107	785.185
1.14	0.0115598	0.58984	0.0144497	785.187
1.22	0.0126503	0.623061	0.0158129	785.188
1.3	0.0137082	0.655186	0.0171353	785.189
1.38	0.014815	0.692796	0.0185187	785.19
1.46	0.0158892	0.727271	0.0198615	785.191
1.54	0.0169472	0.76441	0.0211839	785.192
1.62	0.0180214	0.797319	0.0225267	785.193
1.7	0.0191444	0.835085	0.0239305	785.194
1.78	0.0201861	0.870971	0.0252326	785.195
1.86	0.0211952	0.90576	0.026494	785.196
1.94	0.0222857	0.946033	0.0278571	785.197
2.02	0.0233436	0.981605	0.0291795	785.198
2.1	0.0243853	1.0153	0.0304816	785.199
2.18	0.0254921	1.04836	0.0318651	785.2
2.26	0.0265663	1.08252	0.0332079	785.202
2.34	0.027608	1.11794	0.03451	785.203
2.42	0.0286985	1.15132	0.0358731	785.204
2.5	0.0297238	1.18689	0.0371548	785.205
2.58	0.030733	1.21964	0.0384162	785.206
2.66	0.0318235	1.25302	0.0397793	785.207
2.75	0.0329465	1.28906	0.0411831	785.208
2.83	0.034037	1.32432	0.0425462	785.209
2.91	0.03516	1.36146	0.0439501	785.21
2.99	0.0362343	1.39813	0.0452928	785.211
3.07	0.0372759	1.43135	0.0465949	785.212
3.15	0.0383664	1.46567	0.047958	785.213
3.23	0.0394569	1.50109	0.0493211	785.214
3.31	0.0405311	1.53243	0.0506639	785.216
3.39	0.0416216	1.57286	0.052027	785.217
3.47	0.042647	1.60498	0.0533088	785.218
3.55	0.0436887	1.63805	0.0546109	785.219
3.63	0.0447466	1.67519	0.0559333	785.22
3.71	0.0458371	1.70731	0.0572964	785.221
3.79	0.0469113	1.74288	0.0586392	785.222
3.87	0.0479693	1.77799	0.0599616	785.223
3.95	0.0490598	1.81528	0.0613247	785.224
4.03	0.050134	1.84835	0.0626675	785.225
4.11	0.0512082	1.88549	0.0640103	785.226
4.19	0.0522336	1.92043	0.065292	785.227
4.28	0.0533404	1.95851	0.0666755	785.228
4.36	0.0544472	1.99518	0.0680589	785.229
4.44	0.0555376	2.02355	0.0694221	785.231
4.52	0.0565793	2.05912	0.0707241	785.232
4.6	0.0576861	2.09798	0.0721076	785.233
4.68	0.058744	2.13277	0.07343	785.234
4.76	0.0598182	2.16615	0.0747728	785.235
4.84	0.060925	2.20235	0.0761563	785.236
4.91	0.0619504	2.23573	0.077438	785.237
5	0.0630572	2.26863	0.0788215	785.238
5.08	0.0641802	2.30515	0.0802253	785.239
5.16	0.0651893	2.3357	0.0814867	785.24
5.24	0.0662473	2.37018	0.0828091	785.241
5.32	0.0673052	2.40434	0.0841315	785.242
5.4	0.0683957	2.43803	0.0854946	785.243
5.48	0.0694699	2.47721	0.0868374	785.244
5.56	0.0705279	2.51748	0.0881599	785.246
5.64	0.0716021	2.55603	0.0895026	785.247
5.72	0.0726275	2.59333	0.0907844	785.248
5.8	0.0737017	2.62561	0.0921271	785.249
5.88	0.0747271	2.65476	0.0934089	785.25
5.96	0.075785	2.68798	0.0947313	785.251
6.04	0.0768593	2.72199	0.0960741	785.252
6.12	0.0779009	2.75803	0.0973762	785.253
6.2	0.0790077	2.79203	0.0987596	785.254
6.28	0.0800656	2.83293	0.100082	785.255
6.36	0.081205	2.86913	0.101506	785.256
6.44	0.0822466	2.90063	0.102808	785.257
6.52	0.0833046	2.93119	0.104131	785.258
6.6	0.0844276	2.96833	0.105535	785.259
6.68	0.0854693	3.00155	0.106837	785.26
6.76	0.0865109	3.03477	0.108139	785.261
6.84	0.0876014	3.07175	0.109502	785.263
6.92	0.0886431	3.10529	0.110804	785.264
7	0.0896522	3.1324	0.112065	785.265
7.08	0.0907427	3.16672	0.113428	785.266
7.16	0.0918169	3.20166	0.114771	785.267
7.24	0.09294	3.24241	0.116175	785.268
7.32	0.0939817	3.28033	0.117477	785.269
7.4	0.0950722	3.31292	0.11884	785.27
7.48	0.0961138	3.34317	0.120142	785.271
7.57	0.0972043	3.38188	0.121505	785.272
7.65	0.0982623	3.41713	0.122828	785.273
7.73	0.0993202	3.45239	0.12415	785.274
7.81	0.100362	3.48107	0.125452	785.275
7.89	0.101469	3.51445	0.126836	785.276
